Dyad10Drive1, 0.875, 0.75, 0.5, 0.125
Dyad10Drive2, 0.75, 0.75, 0.75, 0.625
Dyad11Drive1, 0.5, 0.875, 0.375, 0.625
Dyad11Drive2, 0.625, 0.75, 0.875, 0.625
Dyad12Drive1, 1, 0.625, 0.625, 0.5
Dyad12Drive2, 0.875, 0.625, 0.25, 0.5
Dyad13Drive2, 1, 0.75, 0.625, 0.75
Dyad14Drive1, 0.875, 0.75, 0.75, 0.75
Dyad14Drive2, 1, 0.75, 0.625, 0.625
Dyad15Drive1, 0.875, 0.875, 1, 0.75
Dyad15Drive2, 1, 1, 0.875, 0.5
Dyad16Drive1, 1, 0.75, 0.75, 0.5
Dyad16Drive2, 0.75, 0.625, 0.5, 0.625
Dyad17Drive1, 0.75, 1, 0.375, 0.5
Dyad18Drive1, 1, 0.625, 0.375, 0.375
Dyad18Drive2, 1, 0.625, 0.625, 0.625
Dyad19Drive1, 1, 0.25, 0.75, 0.75
Dyad19Drive2, 0.75, 0.875, 0.375, 0.125
Dyad1Drive1, 1, 0.875, 0.625, 0.375
Dyad1Drive2, 1, 0.875, 0.875, 0.75
Dyad20Drive1, 1, 0.5, 0.75, 0.375
Dyad21Drive1, 0.625, 0.75, 0.625, 0.625
Dyad21Drive2, 0.875, 0.625, 0.375, 1
Dyad22Drive1, 0.875, 0.75, 0.875, 0.125
Dyad22Drive2, 0.625, 0.625, 0.875, 0.625
Dyad2Drive2, 0.75, 0.875, 0.5, 0.625
Dyad3Drive1, 1, 0.75, 0.5, 0.625
Dyad3Drive2, 0.625, 0.875, 0.875, 0.375
